U.S. Census Bureau
Source: Advance Monthly Sales for Retail and Food Services
442: Furniture and Home Furnishings Stores: U.S. Total
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]
Period: 2014 to 2025
Data Extracted on: June 10, 2025 (7:40 am)

Period,Value
Jan-2014,7071
Feb-2014,7100
Mar-2014,7966
Apr-2014,7654
May-2014,8244
Jun-2014,7749
Jul-2014,8261
Aug-2014,8591
Sep-2014,8235
Oct-2014,8301
Nov-2014,8799
Dec-2014,10053
Jan-2015,7840
Feb-2015,7407
Mar-2015,8495
Apr-2015,8150
May-2015,8785
Jun-2015,8479
Jul-2015,9012
Aug-2015,9056
Sep-2015,8886
Oct-2015,9026
Nov-2015,9398
Dec-2015,10810
Jan-2016,8117
Feb-2016,8323
Mar-2016,9198
Apr-2016,8545
May-2016,8943
Jun-2016,9056
Jul-2016,9114
Aug-2016,9503
Sep-2016,9461
Oct-2016,8978
Nov-2016,9866
Dec-2016,10756
Jan-2017,8232
Feb-2017,8200
Mar-2017,9605
Apr-2017,8541
May-2017,9369
Jun-2017,9317
Jul-2017,9195
Aug-2017,9813
Sep-2017,9467
Oct-2017,9436
Nov-2017,10468
Dec-2017,11181
Jan-2018,8679
Feb-2018,8508
Mar-2018,9963
Apr-2018,9152
May-2018,9883
Jun-2018,9692
Jul-2018,9703
Aug-2018,10169
Sep-2018,9560
Oct-2018,9746
Nov-2018,10563
Dec-2018,10912
Jan-2019,8641
Feb-2019,8463
Mar-2019,9825
Apr-2019,9394
May-2019,10105
Jun-2019,9565
Jul-2019,9986
Aug-2019,10402
Sep-2019,9914
Oct-2019,10027
Nov-2019,10789
Dec-2019,10926
Jan-2020,9225
Feb-2020,9193
Mar-2020,7897
Apr-2020,3780
May-2020,7072
Jun-2020,9581
Jul-2020,10172
Aug-2020,10692
Sep-2020,10671
Oct-2020,10645
Nov-2020,10697
Dec-2020,11493
Jan-2021,10215
Feb-2021,9690
Mar-2021,12133
Apr-2021,11591
May-2021,11580
Jun-2021,11350
Jul-2021,11660
Aug-2021,11728
Sep-2021,11616
Oct-2021,11704
Nov-2021,12443
Dec-2021,12340
Jan-2022,10107
Feb-2022,10422
Mar-2022,12363
Apr-2022,11967
May-2022,11977
Jun-2022,11654
Jul-2022,11503
Aug-2022,12294
Sep-2022,11852
Oct-2022,11770
Nov-2022,12368
Dec-2022,12227
Jan-2023,11121
Feb-2023,10678
Mar-2023,12098
Apr-2023,10868
May-2023,11541
Jun-2023,11338
Jul-2023,10970
Aug-2023,11726
Sep-2023,11092
Oct-2023,10707
Nov-2023,11958
Dec-2023,11490
Jan-2024,9745
Feb-2024,10140
Mar-2024,10801
Apr-2024,10388
May-2024,11186
Jun-2024,10597
Jul-2024,11145
Aug-2024,11679
Sep-2024,11038
Oct-2024,11194
Nov-2024,12345
Dec-2024,12455
Jan-2025,10414
Feb-2025,10444
Mar-2025,11565
Apr-2025,11183
May-2025,NA
Jun-2025,NA
Jul-2025,NA
Aug-2025,NA
Sep-2025,NA
Oct-2025,NA
Nov-2025,NA
Dec-2025,NA
